year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2011,CS,6_7_csf10,Female,2011-6-7,3,0,46.78,36.9,3.65,4.19,33.95,32.91
2011,CS,7_1_csf42,Female,2011-7-1,5,0,46.41,36.73,3.88,4.04,32.62,30.88
2011,CS,7_1_csf27,Female,2011-7-1,6,0,44.52,35.07,3.65,4.02,32.82,31.24
2011,CS,7_1_csf4,Female,2011-7-1,8,0,44.81,35.24,4.02,4.13,32.84,31.35
2011,CS,6_14_csf1,Female,2011-6-14,2,1,45.71,35.25,4.02,4.12,33.82,32.66
2011,CS,6_21_csf10,Female,2011-6-21,1,0,44.83,36.02,4.22,4.07,33.49,31.8
2011,CS,6_21_csf14,Female,2011-6-21,1,0,44.55,35.11,3.93,3.79,32.2,30.35
2011,CS,6_21_csf2,Female,2011-6-21,14,0,45.66,35.94,4.01,3.94,31.74,30.54
2011,CS,7_9_csf43,Female,2011-7-9,1,1,44.81,35.44,3.79,3.92,32.57,31.11
2011,CS,6_27_csf24,Female,2011-6-27,0,0,43.99,34.56,3.86,3.97,32.21,30.68
2011,CS,6_28_csf23,Female,2011-6-28,7,0,46.21,35.92,3.69,3.64,33.5,32.26
2011,CS,6_28_csf3,Female,2011-6-28,0,1,46.42,36.75,3.77,4.03,32.71,30.88
2011,CS,6_5_csf5,Female,2011-6-5,0,0,44.17,34.12,5.12,3.94,31.33,30.44
2011,CS,lbpw,Female,2011-6-2,10,0,45.16,35.19,4.04,4.02,33,31.5
2011,CS,lbwc,Female,2011-6-1,2,0,43.74,32.92,4.22,4.15,33.31,32.59
2011,CS,lbwlb,Female,2011-6-1,1,0,45.68,36.27,4.5,4.2,32.37,31.85
2011,CS,lbwp,Female,2011-6-1,1,0,46.16,36.36,3.94,4.33,33.69,31.81
2011,CS,6_29_csf9,Female,2011-6-29,1,1,42.15,34.13,3.74,3.74,32.14,30.55
2011,CS,7_4_csf13,Female,2011-7-4,2,0,44.63,36.22,3.91,3.94,31.79,30
2011,CS,7_4_csf20,Female,2011-7-4,2,0,45.24,33.87,4,4.01,32.09,30.97
2011,CS,7_4_csf10,Female,2011-7-4,1,0,44.99,35.5,3.91,3.91,33.06,31.72
2011,CS,7_1_csf32,Female,2011-7-1,3,0,43.25,34.16,3.99,3.85,31.25,30.25
2011,CS,7_1_csf41,Female,2011-7-1,5,0,44.2,35.36,3.65,3.94,32.79,30.86
2011,CS,7_1_csf50,Female,2011-7-1,4,0,43.91,34.52,3.91,3.95,32.46,30.94
2011,CS,7_1_csf39,Female,2011-7-1,1,0,42.96,33.95,3.42,4.03,30.78,29.42
2011,CS,6_16_csf7,Female,2011-6-16,20,0,45.12,35.69,4.1,4.01,32.32,30.55
2011,CS,6_17_csf16,Female,2011-6-17,4,0,43.62,34.48,3.69,3.73,31.52,29.74
2011,CS,7_9_csf15,Female,2011-7-9,1,0,44.81,35.6,3.71,3.94,32.62,31.51
2011,CS,7_9_csf17,Female,2011-7-9,3,0,45.33,35.45,3.67,3.74,32.26,31.46
2011,CS,7_9_csf10,Female,2011-7-9,12,1,45.06,35.04,3.88,3.9,32.87,32
2011,CS,7_7_csf8,Female,2011-7-7,13,0,45.42,34.81,4.02,4.16,33.03,32.01
2011,CS,7_7_csf14,Female,2011-7-7,3,0,45.13,36.22,3.72,3.81,32.11,30.71
2011,CS,7_16_csf6,Female,2011-7-16,2,1,42.32,33.33,3.39,3.73,31.25,29.67
2011,CS,6_12_csf1,Female,2011-6-12,1,0,46.82,36.96,4.13,4.19,34.31,32.23
2011,CS,7_5_csf11,Female,2011-7-5,14,1,45.2,35.16,3.81,3.85,32.93,31.41
2011,CS,7_4_csf23,Female,2011-7-4,1,0,45.02,35.36,3.95,3.95,31.99,30.99
2012,CS,lbcc,Female,2012-6-4,0,0,44.34,34.97,3.67,4.16,34.67,33.39
2012,CS,lbcdb,Female,2012-6-4,3,0,43.9,34.78,4.23,4.03,32.9,31.86
2012,CS,lbww,Female,2012-6-6,4,0,44.97,34.61,4.08,4.02,32.99,31.27
2012,CS,lbwlb,Female,2012-6-7,4,0,44.85,34.91,3.65,4.02,32.93,30.56
2012,CS,lbwg,Female,2012-6-7,0,0,41.8651,32.7605,3.9,4.13,33.5693,33.0271
2012,CS,lbdbp,Female,2012-6-7,0,0,44.713,34.427,3.53,3.88,33.8209,32.5993
2012,CS,lbdblb,Female,2012-6-7,0,0,44.2945,34.4831,3.75,3.75,32.2747,30.4997
2012,CS,lbpc,Female,2012-6-7,0,0,45.4501,35.4746,3.79,3.82,33.5399,31.8501
2012,CS,lbpp,Female,2012-6-7,0,0,45.2958,35.5363,3.75,4.18,35.6756,34.2646
2012,CS,lbpy,Female,2012-6-7,0,0,47.9821,38.6867,3.59,4.17,37.2889,35.8319
2012,CS,ywp,Female,2012-6-13,0,0,46.2556,35.245,4.15,4.12,34.2043,32.7422
2012,CS,ywlb,Female,2012-6-13,0,1,44.0567,34.6146,3.81,4.09,34.5101,33.5514
