year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2011,CV,6_5_cvf8,Female,2011-6-5,11,0,50.2,39.28,4.35,4.35,34.65,34.38
2011,CV,7_1_cvf34,Female,2011-7-1,0,0,49.54,39.73,4,4.06,35.2,34.24
2011,CV,cydb,Female,2011-6-6,1,1,49.82,39.3,4.16,4.08,34.6,34.12
2011,CV,cylb,Female,2011-6-6,1,1,48.83,37.55,3.85,4.09,33.21,33.82
2011,CV,7_6_cvf37,Female,2011-7-6,3,0,49.19,39.68,3.86,4.04,33.94,33.47
2011,CV,6_16_cvf1,Female,2011-6-16,0,0,49.46,39.92,3.98,4.16,35.5,35.16
2011,CV,6_30_cvf10,Female,2011-6-30,6,0,48.44,38.78,3.69,4.06,36.38,35.85
2011,CV,6_29_cvf22,Female,2011-6-29,1,0,48.9,39.19,3.41,4.11,35.61,34.66
2011,CV,6_29_cvf31,Female,2011-6-29,1,0,48.36,38.91,3.88,3.79,34.72,33.84
2011,CV,6_29_cvf26,Female,2011-6-29,7,0,46.98,36.86,3.5,3.86,32.49,32.02
2011,CV,7_4_cvf16,Female,2011-7-4,8,0,49.3,38.57,4.12,4.2,33.99,33.1
2011,CV,6_7_cvf27,Female,2011-6-7,6,0,50.01,38.86,3.81,4.14,35.86,35.15
2011,CV,6_23_cvf6,Female,2011-6-23,7,0,47.36,37.25,3.48,3.82,35.15,34.35
2011,CV,6_12_cvf32,Female,2011-6-12,24,0,49.24,39.09,4.01,4.15,35.43,35.15
2012,CV,lbclb,Female,2012-6-6,1,0,48.64,37.68,4,3.93,35.42,34.67
2012,CV,ydbp,Female,2012-6-13,5,1,48.8652,38.7795,3.61,4.08,36.7759,36.6151
2012,CV,dbcf,Female,2012-6-15,0,1,46.94,38.7714,4.04,4.22,35.5944,34.4098
2012,CV,rwr,Female,2012-6-18,0,0,43.7182,36.0912,3.71,3.82,32.8334,32.0655
2012,CV,rdby,Female,2012-6-18,0,1,47.8493,39.466,4,4.3,36.138,34.7597
2012,CV,rdbf,Female,2012-6-18,20,1,47.776,39.1431,3.9,4.07,35.5613,34.3519
2012,CV,fcy,Female,2012-6-18,0,1,48.2166,38.535,4,4.21,34.6385,34.1329
2012,CV,fwy,Female,2012-6-19,0,0,45.1911,37.4046,3.73,3.95,34.3437,33.7009
2012,CV,fpr,Female,2012-6-19,0,0,46.1201,38.1458,3.87,4.15,35.3522,34.6926
2012,CV,wcf,Female,2012-6-19,0,1,46.1607,38.4226,3.83,4.09,37.1618,36.8079
2012,CV,wdbc,Female,2012-6-19,0,1,43.9841,36.62,3.64,4.03,34.2672,33.7419
2012,CV,wdby,Female,2012-6-19,19,1,44.9452,37.1914,3.8,4.1,36.5331,35.9078
2012,CV,gcy,Female,2012-6-20,0,0,46.3991,37.9015,3.74,4.16,36.2072,35.1386
2012,CV,lbyf,Female,2012-6-21,7,1,47.0431,38.0892,4.03,4.08,36.9043,36.4953
2012,CV,lbrc,Female,2012-6-21,0,1,48.1572,38.8324,3.86,4.34,35.6485,34.8538
2012,CV,cfw,Female,2012-6-28,0,1,44.4657,36.65,3.44,3.64,35.1246,34.2421
2012,CV,clbw,Female,2012-6-28,0,1,44.4069,37.6789,3.76,3.95,35.9626,35.1748
2012,CV,cfg,Female,2012-6-28,0,1,46.5305,38.858,3.96,3.9,35.6559,35.0131
2012,CV,lbgy,Female,2012-6-28,0,0,45.498,36.896,3.74,3.98,35.8146,35.2764
2012,CV,lbgp,Female,2012-6-28,0,0,45.0724,37.3508,3.62,3.94,34.9471,34.3149
2012,CV,cfdb,Female,2012-6-28,0,1,46.063,37.9874,3.38,4.13,37.5077,37.3719
2012,CV,pydb,Female,2012-6-28,0,1,47.0534,38.1009,4.08,4.11,35.6481,34.889
2012,CV,pyr,Female,2012-6-28,0,1,43.81,35.8898,3.84,3.72,34.5799,33.6756
2012,CV,pyg,Female,2012-6-28,10,1,45.1546,37.1856,3.45,3.84,35.6706,35.0693
2012,CV,pry,Female,2012-6-29,0,0,43.2034,34.8078,3.94,3.95,31.8614,30.6534
2012,CV,prf,Female,2012-6-29,3,0,47.6532,38.6454,4.08,4.36,36.4899,35.9582
2012,CV,yyw,Female,2012-6-30,0,1,45.2715,37.4626,3.89,3.81,34.1914,34.14
2012,CV,yylb,Female,2012-6-30,2,1,47.6909,39.2744,3.67,4.32,37.0947,36.3855
2012,CV,yyy,Female,2012-6-30,0,1,45.9452,37.516,3.69,4.09,35.4533,34.6906
2012,CV,yrw,Female,2012-6-30,0,1,44.455,37.1279,3.75,3.83,33.1987,32.6454
2012,CV,yyg,Female,2012-6-30,0,1,44.785,37.1666,3.45,3.66,33.7884,33.3309
2012,CV,yry,Female,2012-6-30,4,1,46.2773,38.0774,3.81,4.05,34.4842,34.2119
2012,CV,dbrp,Female,2012-7-2,0,1,47.1949,38.613,3.9,4.08,37.5503,36.4922
2012,CV,dbrc,Female,2012-7-2,0,1,46.3964,37.6463,3.61,3.91,36.7255,35.5504
2012,CV,dbrr,Female,2012-7-2,6,1,45.7088,37.6424,4.22,4.14,35.4487,35.0699
2012,CV,ryp,Female,2012-7-4,0,1,46.7031,38.1687,3.73,3.51,35.3694,34.3834
2012,CV,ryy,Female,2012-7-4,1,1,47.8682,39.8508,4.1,3.97,36.5875,35.8938
2012,CV,ryg,Female,2012-7-4,0,1,48.2805,39.5092,4,4.13,37.1219,36.3703
2012,CV,ryf,Female,2012-7-4,0,1,43.9065,35.9812,3.77,3.8,33.2587,32.6651
2012,CV,rry,Female,2012-7-4,0,1,47.8586,38.6717,3.93,4.12,35.7808,34.9939
2012,CV,frg,Female,2012-7-8,0,1,41.5273,34.1697,3.36,3.33,30.23,29.5178
2012,CV,frr,Female,2012-7-8,16,1,46.6663,38.5028,3.78,3.79,35.8646,34.7627
2012,CV,flbp,Female,2012-7-8,0,1,43.3864,35.6985,3.51,3.78,34.4096,33.2096
2012,CV,flblb,Female,2012-7-8,0,1,42.4833,34.9641,3.56,3.72,32.279,31.5779
2012,CV,fgc,Female,2012-7-8,0,1,45.5748,37.5197,3.85,3.74,34.6818,33.9496
2012,CV,wyc,Female,2012-7-8,0,1,45.3836,37.0058,3.82,3.8,36.3608,35.0482
2012,CV,fgw,Female,2012-7-8,0,1,46.5882,37.8378,3.67,4.06,35.6121,34.252
2012,CV,wyf,Female,2012-7-8,0,1,45.3965,37.1617,4.07,4.1,35.3881,34.7685
