year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2011,CS,6_7_csm2,Male,2011-6-7,0,1,46.59,36.89,4.01,4.2,31.2,29.76,16.88,9.76
2011,CS,cdbf,Male,2011-6-7,0,0,45.76,35.1,3.42,4.01,30.66,29.42,16.85,9.61
2011,CS,7_1_csm28,Male,2011-7-1,9,0,46.75,36.57,3.94,3.92,28.94,27.63,14.59,9.38
2011,CS,6_7_csm13,Male,2011-6-7,5,1,46.13,35.84,3.56,4.2,30.58,29.11,16.21,9.81
2011,CS,cpp,Male,2011-6-7,9,0,47.61,37.61,3.99,4.24,31.05,30.24,16.52,9.79
2011,CS,cpw,Male,2011-6-7,1,0,45.79,35.39,3.81,3.84,29.32,28,15.4,9.1
2011,CS,7_1_csm13,Male,2011-7-1,8,0,47.66,38.21,3.72,3.81,29.84,28.28,14.7,9.35
2011,CS,7_1_csm24,Male,2011-7-1,19,1,44.91,35.46,3.72,3.91,28.93,27.88,15.8,9.83
2011,CS,7_1_csm20,Male,2011-7-1,4,0,46.02,36.52,3.51,3.72,29.52,28.35,15.37,9.83
2011,CS,7_1_csm17,Male,2011-7-1,4,1,45.12,35.2,3.74,3.44,29.82,28.91,16.32,9.56
2011,CS,7_1_csm5,Male,2011-7-1,18,0,48.4,39.23,3.84,3.87,30.12,29.18,16.53,9.41
2011,CS,7_1_csm10,Male,2011-7-1,4,0,46.83,37.45,3.65,3.97,30.96,29.08,17.42,9.65
2011,CS,7_1_csm11,Male,2011-7-1,8,0,45.67,35.62,3.36,4.03,29.32,28.25,16.7,9.8
2011,CS,7_1_csm2,Male,2011-7-1,11,0,47.23,37.34,3.91,4,30.4,29.48,15.34,9.76
2011,CS,7_1_csm3,Male,2011-7-1,8,0,44.89,35.96,3.82,3.78,28.34,28.78,15.71,9.36
2011,CS,7_1_csm8,Male,2011-7-1,9,0,46.88,38.19,3.78,3.81,28.88,27.72,14.79,9.44
2011,CS,cyw,Male,2011-6-6,1,1,48.24,36.3,3.83,4.16,31.24,30.23,18.98,9.73
2011,CS,6_13_csm26,Male,2011-6-13,13,0,46.45,35.96,3.72,3.92,30.32,28.69,16.24,10.2
2011,CS,6_13_csm19,Male,2011-6-13,3,0,44.6,35.62,3.51,3.96,30.25,28.63,17.59,8.94
2011,CS,6_15_csm1,Male,2011-6-15,1,0,47.76,38.81,4.07,4.32,31.9,31.2,29.25,11.56
2011,CS,7_6_csm41,Male,2011-7-6,6,1,47.52,37.65,3.83,3.91,28.66,27.61,15.05,9.85
2011,CS,7_7_csm1,Male,2011-7-7,5,0,46.31,37.22,3.55,4.18,29.29,28.12,19.15,9.92
2011,CS,6_16_csm14,Male,2011-6-16,6,0,46.9,36.51,4.03,4.24,30.22,29.12,15.96,9.98
2011,CS,6_13_csm25,Male,2011-6-13,3,1,47.27,37.46,3.5,4.02,29.9,28.03,17.91,9.97
2011,CS,7_5_csm30,Male,2011-7-5,1,1,46.14,36.35,4.12,4.11,29.75,28.2,17.27,9.6
2011,CS,7_6_csm1,Male,2011-7-6,3,0,47.72,38.07,3.91,4.05,30.04,28.75,16.31,9.45
2011,CS,6_17_csm22,Male,2011-6-17,5,0,46.71,36.04,3.53,3.82,30.09,28.61,16.06,10.01
2011,CS,6_17_csm21,Male,2011-6-17,12,0,47.38,35.21,4.09,4.2,30.12,29.16,16.41,10.01
2011,CS,6_21_csm8,Male,2011-6-21,6,0,46.01,36.55,3.99,3.85,29.23,28.35,15.59,9.65
2011,CS,6_21_csm11,Male,2011-6-21,2,1,44.57,35,4.08,3.83,28.97,28.5,17.91,9.41
2011,CS,6_22_csm8,Male,2011-6-22,4,1,47.18,37.11,3.82,3.9,31.41,30.34,19.19,9.68
2011,CS,6_22_csm5,Male,2011-6-22,0,0,46.19,36.96,3.91,3.96,30.8,29.83,18.52,9.5
2011,CS,6_17_csm12,Male,2011-6-17,4,0,46.38,36.97,3.8,3.95,30.07,29.19,16.58,9.78
2011,CS,6_21_csm1,Male,2011-6-21,0,0,48.05,38.38,3.85,3.63,30.54,29.21,15.3,9.99
2011,CS,6_21_csm6,Male,2011-6-21,0,0,44.74,35.15,3.86,3.96,29.18,28.21,16.72,9.84
2011,CS,6_21_csm7,Male,2011-6-21,2,0,46.69,36.75,3.96,4.08,30.83,29.53,16.08,9.69
2011,CS,6_21_csm13,Male,2011-6-21,2,0,44.75,35.03,3.73,3.8,28.23,27.15,16.46,9.15
2011,CS,7_9_csm37,Male,2011-7-9,3,1,45.35,35.68,3.55,3.9,29.15,28.39,15.48,9.49
2011,CS,7_9_csm42,Male,2011-7-9,3,1,46.69,36.82,3.7,3.8,30.42,29.21,17.13,9.59
2011,CS,6_27_csm20,Male,2011-6-27,1,1,45.42,35.95,3.61,3.43,29.17,28.33,15.79,9.16
2011,CS,6_27_csm25,Male,2011-6-27,9,0,45.95,36.17,3.9,3.96,29.39,27.88,17.77,9.52
2011,CS,6_27_csm28,Male,2011-6-27,1,0,45.36,35.81,3.55,3.93,29.32,27.83,17.04,9.45
