year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2011,CV,6_5_cvm6,Male,2011-6-5,8,0,50.11,38.11,3.96,4.14,32.23,31.45
2011,CV,ccr,Male,2011-6-6,1,1,52.05,41.19,3.93,4.29,33.76,32.83
2011,CV,6_7_cvm5,Male,2011-6-7,0,0,47.18,34.45,3.88,4.05,31.52,30.52
2011,CV,7_1_cvm25,Male,2011-7-1,4,0,48.74,39.28,3.71,3.98,32.16,31.5
2011,CV,7_1_cvm38,Male,2011-7-1,11,0,48.35,39.07,3.75,3.83,31.38,31.18
2011,CV,7_1_cvm36,Male,2011-7-1,5,0,48.31,38.49,3.76,3.84,31.23,30.3
2011,CV,7_1_cvm23,Male,2011-7-1,8,0,50.1,40.59,4.21,4.22,31,31.07
2011,CV,7_1_cvm12,Male,2011-7-1,11,0,47.24,37.8,3.59,4.01,31.13,30.49
2011,CV,7_1_cvm14,Male,2011-7-1,1,0,49.27,39.5,3.76,3.9,32.77,32.26
2011,CV,6_13_cvm24,Male,2011-6-13,3,0,49.6,38.91,4.08,4.07,32.02,31.88
2011,CV,6_13_cvm22,Male,2011-6-13,8,0,50.1,39.65,4.08,4.13,32.3,30.9
2011,CV,6_15_cvm2,Male,2011-6-15,1,0,47.52,38.6,3.56,4.04,31.45,30.69
2011,CV,6_16_cvm6,Male,2011-6-16,13,0,48.84,39.66,4.02,4.08,33.18,32.64
2011,CV,7_6_cvm31,Male,2011-7-6,6,0,48.5,39.03,3.63,3.88,32.09,30.88
2011,CV,7_10_cvm17,Male,2011-7-10,17,0,48.14,38.92,3.71,3.82,31.73,31.05
2011,CV,6_22_cvm4,Male,2011-6-22,1,0,51.14,41.57,3.68,3.89,31.9,31.44
2011,CV,6_21_cvm4,Male,2011-6-21,0,0,49.51,39.77,4.05,4.2,32.31,32.15
2011,CV,6_28_cvm9,Male,2011-6-28,1,0,47.55,37.75,4.01,4.05,33.29,32.33
2011,CV,6_27_cvm26,Male,2011-6-27,2,0,48.7,39.59,3.77,3.79,31.27,30.29
2011,CV,6_28_cvm14,Male,2011-6-28,8,0,47.84,38.14,3.78,4.02,30.65,30.17
2011,CV,7_19_cvm2,Male,2011-7-19,2,0,44.64,35.66,3.2,3.42,30.8,30.01
2011,CV,6_28_cvm19,Male,2011-6-28,1,0,50.23,41.45,3.83,3.99,31.7,31.53
2011,CV,6_28_cvm24,Male,2011-6-28,7,0,48.53,38.85,3.61,4.09,31.03,30.45
2011,CV,6_28_cvm5,Male,2011-6-28,0,0,48.3,38.7,3.83,3.83,31.99,31.25
2011,CV,7_16_csm31,Male,2011-7-16,11,0,50,40.68,3.05,3.63,30.98,30.23
2011,CV,7_16_cvm37,Male,2011-7-16,4,0,47.4,37.81,3.45,3.85,31,30.57
2011,CV,7_16_cvm20,Male,2011-7-16,11,0,49.47,39.79,3.79,4.09,32.41,32.05
2011,CV,lbcg,Male,2011-6-1,12,0,49.95,39.6,4.1,4.09,33.62,32.6
2011,CV,6_30_cvm13,Male,2011-6-30,4,0,49.9,40.19,3.96,4.14,32.43,31.46
2011,CV,6_30_cvm18,Male,2011-6-30,1,0,47.86,38.49,3.67,3.9,30.27,29.6
2011,CV,6_30_cvm22,Male,2011-6-30,1,0,47.7,38.25,3.58,3.83,31.49,30.33
2011,CV,7_19_cvm14,Male,2011-7-19,1,0,48.34,38.97,3.43,3.63,30.95,29.9
2011,CV,6_5_cvm3,Male,2011-6-5,5,1,48.89,38.57,4.6,4.1,33.05,31.94
2011,CV,6_30_cvm16,Male,2011-6-30,9,1,52.8,42.43,3.96,4.17,33.84,33.06
2011,CV,6_30_cvm28,Male,2011-6-30,6,0,49.9,40.15,3.76,3.98,32.13,31.68
2011,CV,6_29_cvm3,Male,2011-6-29,1,0,48.51,38.42,3.65,3.93,31.52,31.01
2011,CV,6_7_cvm26,Male,2011-6-7,9,0,49.09,38.05,3.77,4.31,31,30.12
2011,CV,6_7_cvm23,Male,2011-6-7,1,0,48.21,37.28,3.6,3.98,31.21,30.28
2011,CV,6_7_cvm25,Male,2011-6-7,1,0,48.72,36.36,3.85,4.18,31.67,31.04
2011,CV,6_7_cvm24,Male,2011-6-7,9,0,49.8,37.6,3.69,4.09,32.12,31.42
2011,CV,7_9_cvm28,Male,2011-7-9,1,0,51.49,41.34,3.97,4,32.77,32.19
2011,CV,6_17_cvm15,Male,2011-6-17,4,0,49.28,36.68,4.19,4.31,32.91,31.48
2011,CV,7_9_cvm11,Male,2011-7-9,1,0,49.18,39.41,3.92,4.1,31.95,31.4
2011,CV,7_7_cvm4,Male,2011-7-7,3,0,48.4,37.08,3.7,3.84,30.9,30.41
2011,CV,6_22_cvm12,Male,2011-6-22,1,0,48.94,39.57,3.84,4.05,32.09,31.75
2011,CV,6_27_cvm11,Male,2011-6-27,1,0,49.88,39.92,3.68,4.24,32.38,31.04
2011,CV,6_27_cvm6,Male,2011-6-27,2,0,49.2,38.71,3.98,4.05,32.69,31.43
2011,CV,6_27_cvm10,Male,2011-6-27,0,0,51.12,41.27,3.89,4.03,32.75,32.21
2011,CV,6_27_cvm13,Male,2011-6-27,3,0,47.61,38.26,3.66,3.61,32.06,31.52
2011,CV,6_27_cvm18,Male,2011-6-27,1,1,49.08,38.96,3.81,4.14,32.81,32.29
2011,CV,6_27_cvm12,Male,2011-6-27,1,0,51.26,41.29,3.76,3.95,33.35,32.15
2011,CV,7_16_cvm10,Male,2011-7-16,11,0,49.54,38.51,3.71,3.65,29.67,29.21
2011,CV,7_12_cvm11,Male,2011-7-12,8,0,48.84,38.19,3.56,3.84,32.6,31.81
2011,CV,6_13_cvm1,Male,2011-6-13,3,0,51.48,41.37,4.07,4.2,31.45,31.48
2011,CV,6_12_cvm17,Male,2011-6-12,3,0,48.77,38.95,3.91,4.07,32.57,32.07
2011,CV,7_5_cvm29,Male,2011-7-5,1,0,48.73,38.94,3.71,3.83,31.58,30.52
2011,CV,7_5_cvm25,Male,2011-7-5,4,1,49.2,38.89,3.81,3.86,30.93,29.71
2011,CV,7_5_cvm13,Male,2011-7-5,4,0,51.34,41.56,4.02,4.09,32.45,31.89
2011,CV,6_12_cvm27,Male,2011-6-12,4,0,48.25,38.29,3.8,4.02,32.02,32.02
2011,CV,7_4_cvm37,Male,2011-7-4,1,0,49.48,40.21,4.3,4.34,32.82,32.58
2012,CV,lbdbf,Male,2012-6-7,10,0,46.2984,37.7578,3.92,3.74,30.9798,30.6288
2012,CV,lbpdb,Male,2012-6-7,0,0,48.8022,39.4563,3.81,4.19,32.6706,32.2982
2012,CV,ydby,Male,2012-6-13,0,1,44.8933,35.6768,3.72,3.93,31.9303,30.3915
2012,CV,dbdbg,Male,2012-6-17,0,0,49.0621,39.6753,3.8,4.05,33.0946,32.1414
2012,CV,dbpw,Male,2012-6-17,0,0,47.7279,38.6295,3.68,3.04,32.2621,31.7018
2012,CV,dbpy,Male,2012-6-17,0,0,47.5306,39.0174,3.54,3.85,32.367,31.9196
2012,CV,rwy,Male,2012-6-18,0,0,46.4018,38.526,3.8,4.03,32.5806,32.1587
2012,CV,rwlb,Male,2012-6-18,16,0,47.6337,39.0513,3.5,3.76,32.1746,31.6699
2012,CV,rdbp,Male,2012-6-18,20,1,47.5822,39.1266,3.8,4.04,31.2276,30.4409
2012,CV,rdbr,Male,2012-6-18,12,1,46.4297,38.6031,3.92,4.3,34.4843,32.9083
2012,CV,fcw,Male,2012-6-18,0,1,44.4031,37.1934,3.62,3.76,30.688,30.1787
2012,CV,fcr,Male,2012-6-18,16,1,47.5416,38.5422,3.65,3.96,31.0244,30.164
2012,CV,fww,Male,2012-6-18,21,0,44.6799,37.1557,3.9,3.95,30.2557,29.6785
2012,CV,fwg,Male,2012-6-19,1,0,46.4792,38.6205,3.74,4.04,33.2726,32.2061
2012,CV,fdblb,Male,2012-6-19,0,0,45.9881,38.1916,3.42,3.99,31.1762,30.495
2012,CV,fpc,Male,2012-6-19,20,0,47.0786,39.633,3.69,4,32.715,32.4563
